"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"96","RT @runeheiberg: Flot interaktiv pr<U+00E6>sentation af ny rapport fra @TaenketankenDEA om digital l<U+00E6>ring, #edutech og #MOOC http://t.co/KwqGUFTPo¡­",FALSE,0,NA,2015-04-15 08:55:56,FALSE,NA,"588264482801115136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MagnusBalslev",2,TRUE,FALSE,NA,NA
"97","Do you know? You can show TED videos to your students with English Subtitles. #TEDTalks #TEDEdChat #edutech http://t.co/1823xXgAFN",FALSE,0,NA,2015-04-15 08:46:25,FALSE,NA,"588262087572459520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Aysegul_Kaban",0,FALSE,FALSE,NA,NA
"98","#techupdate 5 Ways  New Technology has improve Infrastructure in developing c http://t.co/GGKlaSA0im  #education #edutech #tech #technology",FALSE,0,NA,2015-04-15 08:34:51,FALSE,NA,"588259174510891009",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","baseg25",0,FALSE,FALSE,NA,NA
"99","New tool aids game-based learning integration http://t.co/YkW2mzoiI6 #EdTech #EdChat #k12 #EduTech",FALSE,0,NA,2015-04-15 08:32:39,FALSE,NA,"588258620829216768",NA,"<a href=""http://app.vytmn.com/"" rel=""nofollow"">Vytmn</a>","Spencer_GG",0,FALSE,FALSE,NA,NA
"100","RT @Justajourno: Homework goes hi-tech with #edutech app GCSE pupils can use on tablets &amp; smartphones:  http://t.co/RqMhJn0GGq",FALSE,0,NA,2015-04-15 08:24:06,FALSE,NA,"588256468702515201",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","educake",1,TRUE,FALSE,NA,NA
"101","DYSLEXIC WHO,,, STUDENT OR THE TEACHER ??#Dyslexia, #Comprehension,#metacognition,#edutech,#TeachingLearningProcess,http://t.co/QaigSDjb3F",FALSE,0,NA,2015-04-15 08:09:25,FALSE,NA,"588252773742936065",NA,"<a href=""http://gremln.com"" rel=""nofollow"">Gremln</a>","Shyam17",0,FALSE,FALSE,NA,NA
"102","RT @runeheiberg: Flot interaktiv pr<U+00E6>sentation af ny rapport fra @TaenketankenDEA om digital l<U+00E6>ring, #edutech og #MOOC http://t.co/KwqGUFTPo¡­",FALSE,0,NA,2015-04-15 08:03:15,FALSE,NA,"588251222014087168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TaenketankenDEA",2,TRUE,FALSE,NA,NA
"103","High quality #staffdevelopment should be a high priority for organisations #HR #edutech http://t.co/9BIJvWEhTe",FALSE,0,NA,2015-04-15 07:55:53,FALSE,NA,"588249368781783040",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","EduTechNinja",0,FALSE,FALSE,NA,NA
"104","#techupdate 6 Epic Ways We Misuse Mobile Technology http://t.co/zIuqJlfVdA  #edutech #mobile2 #mobiletechnology #mobiletech #technology",FALSE,0,NA,2015-04-15 07:33:22,FALSE,NA,"588243702696513536",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","baseg25",0,FALSE,FALSE,NA,NA
"105","Flot interaktiv pr<U+00E6>sentation af ny rapport fra @TaenketankenDEA om digital l<U+00E6>ring, #edutech og #MOOC http://t.co/KwqGUFTPoH ""uddpol",FALSE,7,NA,2015-04-15 07:21:22,FALSE,NA,"588240682231406592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","runeheiberg",2,FALSE,FALSE,NA,NA
"106","#techupdate 6 Epic Ways We Misuse Mobile Technology http://t.co/zIuqJlfVdA  #edutech #mobile2 #mobiletechnology #mobiletech #technology",FALSE,0,NA,2015-04-15 06:31:56,FALSE,NA,"588228241900601344",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","baseg25",0,FALSE,FALSE,NA,NA
"107","RT @TylerUX_: Database offers 1 million free resources and images in April http://t.co/z2huJjQOdX #GoogleEdu #EduTech #EduChat http://t.co/¡­",FALSE,0,NA,2015-04-15 06:05:18,FALSE,NA,"588221538836553728",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","pathstomath",2,TRUE,FALSE,NA,NA
"108","Colo. System Lets Individual Schools Shape Ed-Tech Buying - Education Week http://t.co/lI6BvbPk1E #EduTech #edchat #chromebook",FALSE,0,NA,2015-04-15 05:52:47,FALSE,NA,"588218392273936384",NA,"<a href=""http://app.vytmn.com/"" rel=""nofollow"">Vytmn</a>","Weston_GG",0,FALSE,FALSE,NA,NA
"109","7 innovative 3D printers for the classroom http://t.co/xVNUYBwTro #GAFE #EduTech #EdTech #EduChat",FALSE,0,NA,2015-04-15 05:52:46,FALSE,NA,"588218384698998784",NA,"<a href=""http://app.vytmn.com/"" rel=""nofollow"">Vytmn</a>","Advait_LA",0,FALSE,FALSE,NA,NA
"110","Innovation Takes Center Stage http://t.co/So4qjJ9JiC #EduTech http://t.co/D5xVRroNhc",FALSE,2,NA,2015-04-15 05:15:48,FALSE,NA,"588209085125947392",NA,"<a href=""http://app.vytmn.com/"" rel=""nofollow"">Vytmn</a>","goguardian",0,FALSE,FALSE,NA,NA
"111","Emprendedoras yucatecas triunfan en Barcelona @reporteroshoy http://t.co/aEgt5QXXrd #EduTech #technology  #Robotics",FALSE,0,"AlbertoMunoz",2015-04-15 04:14:59,FALSE,"588188012779036672","588193778386784256","22408636","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlbertoMunoz",0,FALSE,FALSE,"-89.63644171","21.01258182"
"112","How 2 Put Metacognition in Process 4 #Teachers.#Metacognition,#Comprehension, #education,#edutech,#Teaching,#School,http://t.co/zhtcTUK2y7",FALSE,0,NA,2015-04-15 04:02:03,FALSE,NA,"588190522646331393",NA,"<a href=""http://gremln.com"" rel=""nofollow"">Gremln</a>","Shyam17",0,FALSE,FALSE,NA,NA
"113","The $4.6 Trillion Education Industry Might Get Smoked by These Companies http://t.co/DVfiZbraG6 #edu #edutech #technology #education",FALSE,3,NA,2015-04-15 03:30:11,FALSE,NA,"588182503283892225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nattynat",0,FALSE,FALSE,NA,NA
"114","7 innovative 3D printers for the classroom http://t.co/2gkM3IFkHe #EdChat #k12 #EduTech #EdTech",FALSE,0,NA,2015-04-15 03:23:34,FALSE,NA,"588180839369965568",NA,"<a href=""http://app.vytmn.com/"" rel=""nofollow"">Vytmn</a>","TyC_GG",1,FALSE,FALSE,NA,NA
"115","RT @Aerohive: #WiFi is changing the education landscape, especially when it comes to digital white board: http://t.co/SSTKOGY7WW #EduTech #¡­",FALSE,0,NA,2015-04-15 03:17:58,FALSE,NA,"588179429555306497",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","CJcomputersNC",4,TRUE,FALSE,NA,NA
